"node_from","node_to","weight"
"anxiety","anger",3
"anxiety","arthritis",10
"bulimia","anorexia",5
"anxiety","bulimia",3
"anxiety","choking",4
"constipation","aches",18
"constipation","anorexia",7
"anxiety","constipation",17
"anxiety","cough",3
"anxiety","cramps",6
"constipation","cramps",26
"dehydration","aches",10
"anxiety","dehydration",3
"constipation","dehydration",40
"cramps","dehydration",6
"anxiety","delirium",4
"depressed","aches",3
"depressed","anorexia",7
"anxiety","depressed",216
"bulimia","depressed",6
"constipation","depressed",21
"cough","depressed",3
"cramps","depressed",3
"dehydration","depressed",3
"constipation","diarrhea",8
"constipation","distress",5
"anxiety","dizziness",10
"constipation","dizziness",71
"dehydration","dizziness",5
"depressed","dizziness",3
"constipation","drowsiness",3
"dizziness","drowsiness",4
"fatigue","aches",8
"fatigue","anorexia",3
"anxiety","fatigue",20
"fatigue","apathy",4
"arthritis","fatigue",10
"fatigue","burns",4
"constipation","fatigue",131
"cramps","fatigue",4
"dehydration","fatigue",11
"depressed","fatigue",33
"dizziness","fatigue",41
"arthritis","fibromyalgia",4
"fatigue","fibromyalgia",4
"headache","aches",10
"anxiety","headache",20
"constipation","headache",62
"cramps","headache",6
"dehydration","headache",20
"depressed","headache",9
"dizziness","headache",21
"drowsiness","headache",5
"fatigue","headache",65
"heartburn","aches",3
"anxiety","heartburn",3
"heartburn","burns",3
"constipation","heartburn",36
"cramps","heartburn",7
"fatigue","heartburn",16
"headache","heartburn",14
"heartburn","hiccups",3
"headache","hunger pains",3
"depressed","hypertension",6
"hypertension","gastritis",3
"headache","hypertension",3
"depressed","hypomania",3
"constipation","hypothyroidism",7
"cramps","hypothyroidism",8
"depressed","hypothyroidism",8
"hypertension","hypothyroidism",7
"hypothyroidism","hyperthyroidism",3
"delirium","hysteria",3
"anxiety","inflammation",6
"arthritis","inflammation",14
"inflammation","burns",4
"constipation","inflammation",5
"dehydration","inflammation",4
"depressed","inflammation",4
"fatigue","inflammation",4
"fibromyalgia","inflammation",4
"headache","inflammation",4
"heartburn","inflammation",4
"insomnia","aches",5
"anxiety","insomnia",19
"constipation","insomnia",3
"depressed","insomnia",17
"headache","insomnia",5
"anxiety","irritable",8
"constipation","irritable",5
"dehydration","irritable",3
"depressed","irritable",6
"fatigue","irritable",6
"headache","irritable",5
"insomnia","irritable",3
"headache","jaundice",3
"arthritis","ketosis",4
"ketosis","burns",6
"ketosis","ketonemia",6
"dizziness","labyrinthitis",3
"constipation","lethargy",3
"constipation","lightheadedness",3
"dizziness","lightheadedness",4
"drowsiness","lightheadedness",3
"headache","lightheadedness",3
"anxiety","mania",13
"depressed","mania",9
"anxiety","migraines",9
"migraines","auras",3
"constipation","migraines",11
"cramps","migraines",4
"dehydration","migraines",12
"depressed","migraines",5
"dizziness","migraines",4
"fatigue","migraines",20
"fibromyalgia","migraines",4
"headache","migraines",61
"hypothyroidism","migraines",4
"inflammation","migraines",7
"nausea","aches",29
"nausea","acidosis",6
"nausea","adenomyosis",3
"anxiety","nausea",53
"arthritis","nausea",3
"nausea","burns",8
"nausea","chills",5
"constipation","nausea",265
"cramps","nausea",74
"dehydration","nausea",29
"depressed","nausea",30
"diarrhea","nausea",9
"distress","nausea",6
"dizziness","nausea",52
"nausea","endometriosis",5
"fatigue","nausea",181
"headache","nausea",145
"heartburn","nausea",80
"hiccups","nausea",4
"hypothyroidism","nausea",6
"inflammation","nausea",8
"insomnia","nausea",10
"irritable","nausea",7
"lethargy","nausea",5
"lightheadedness","nausea",3
"migraines","nausea",38
"anxiety","neuropathy",7
"depressed","neuropathy",3
"nausea","neuropathy",4
"anxiety","numb",9
"depressed","numb",3
"nausea","numb",9
"neuropathy","numb",12
"hypertension","osteoarthritis",3
"anxiety","palpitations",22
"depressed","palpitations",5
"dizziness","palpitations",7
"nausea","palpitations",3
"neuropathy","palpitations",3
"hypertension","paralysis",8
"nausea","phobias",3
"depressed","pneumonia",3
"inflammation","pneumonia",4
"migraines","puberty",3
"anxiety","rash",3
"constipation","rash",3
"dehydration","rash",3
"depressed","rash",3
"rash","dermatitis",3
"dizziness","rash",3
"drowsiness","rash",3
"headache","rash",5
"hypothyroidism","rash",3
"irritable","rash",3
"jaundice","rash",3
"nausea","rash",10
"nausea","retching",3
"schizophrenia","encephalitis",4
"nausea","schizophrenia",4
"anxiety","shakiness",3
"irritable","shakiness",3
"nausea","shakiness",4
"anxiety","swelling",6
"swelling","burns",4
"depressed","swelling",6
"dizziness","swelling",3
"drowsiness","swelling",3
"headache","swelling",5
"swelling","hoarseness",3
"inflammation","swelling",10
"insomnia","swelling",4
"irritable","swelling",3
"jaundice","swelling",3
"nausea","swelling",3
"rash","swelling",9
"nausea","tachycardia",5
"cramps","thirst",3
"fatigue","thirst",3
"headache","thirst",3
"constipation","thyroiditis",3
"depressed","thyroiditis",4
"thyroiditis","hoarseness",19
"hypothyroidism","thyroiditis",12
"nausea","thyroiditis",4
"paralysis","thyroiditis",5
"swelling","thyroiditis",19
"anxiety","tinnitus",4
"trauma","anorexia",5
"anxiety","trauma",14
"trauma","cardiomegaly",3
"depressed","trauma",11
"trauma","hypotension",3
"trauma","onycholysis",12
"constipation","vertigo",3
"dizziness","vertigo",5
"headache","vertigo",3
"vomit","aches",11
"anxiety","vomit",25
"vomit","burns",6
"vomit","chills",5
"choking","vomit",3
"vomit","cold sweats",3
"constipation","vomit",60
"cramps","vomit",12
"dehydration","vomit",17
"depressed","vomit",15
"diarrhea","vomit",13
"dizziness","vomit",7
"drowsiness","vomit",3
"fatigue","vomit",36
"headache","vomit",30
"heartburn","vomit",20
"vomit","ileus",4
"inflammation","vomit",6
"insomnia","vomit",4
"irritable","vomit",7
"jaundice","vomit",3
"migraines","vomit",7
"nausea","vomit",281
"vomit","overdosed",3
"rash","vomit",4
"swelling","vomit",4
"thyroiditis","vomit",3
"trauma","vomit",3
"anxiety","worry",12
"constipation","worry",10
"depressed","worry",10
"fatigue","worry",6
"headache","worry",8
"hypothyroidism","worry",3
"migraines","worry",5
"nausea","worry",17
"thyroiditis","worry",6
"vomit","worry",3
